blue_gold,blue_dragons,blue_towers_destroyed,blue_kills,blue_total_level,red_gold,red_dragons,red_towers_destroyed,red_kills,red_total_level,game_duration,win
36075,1,2,12,54,41511,2,3,16,59,1266,0
33877,1,3,22,51,27578,0,1,9,45,963,1
75225,3,4,27,85,85158,3,9,30,86,2588,0
70393,4,10,33,83,57411,0,4,30,74,1807,1
59284,2,6,35,77,48571,1,4,14,68,1651,1
39630,0,3,15,56,47568,2,4,26,64,1278,0
59264,0,5,19,75,69520,5,9,35,79,1931,0
57230,1,6,26,72,53802,3,3,26,71,1706,1
46761,1,8,35,58,33793,1,1,15,51,1199,1
55751,3,11,27,72,44033,0,4,11,65,1532,1
80513,2,10,43,84,75062,2,4,33,83,2316,1
55753,1,4,24,73,62400,3,8,32,77,1763,0
59137,0,1,48,82,66910,0,4,61,88,1048,0
37537,0,1,38,57,31855,0,0,23,52,538,1
69561,1,10,29,80,65555,3,6,23,76,1954,1
66076,2,7,43,80,61921,2,7,29,73,1920,1
55029,2,7,31,69,46875,1,2,19,63,1505,1
42211,0,0,16,65,54478,3,7,30,71,1450,0
42248,0,2,18,59,52542,4,6,40,67,1404,0
52969,2,6,37,68,46981,0,2,20,63,1527,1
2500,0,0,0,5,3035,0,0,1,5,105,1
71571,1,8,37,83,69264,4,6,27,82,2182,1
57236,2,10,43,68,40285,0,1,19,59,1434,1
39362,2,1,14,59,48256,1,4,28,65,1400,0
50560,2,7,30,64,39161,0,2,18,56,1256,1
41151,0,0,18,64,55344,3,10,30,72,1448,0
50395,0,5,12,69,62618,3,10,31,77,1774,0
38083,0,1,9,60,50416,3,8,23,66,1367,0
60136,1,11,46,71,46913,1,0,32,64,1448,1
43955,1,3,13,63,50220,3,7,20,65,1495,0
32907,0,1,14,51,37635,2,5,19,53,1102,0
72572,3,7,38,80,61754,1,3,35,76,2012,1
32565,1,1,22,49,25278,0,0,3,46,927,1
81879,4,9,56,86,76438,2,7,38,85,2185,1
50741,0,0,51,76,57577,0,4,63,84,884,0
60718,1,10,34,71,45655,1,3,24,62,1488,1
50165,2,10,16,67,36223,1,1,8,59,1394,1
68906,3,8,26,84,65903,2,6,20,78,2102,1
71053,4,9,43,84,57696,1,6,25,70,1916,1
36964,2,0,14,55,48284,1,8,28,60,1302,0
51566,0,7,27,68,46366,3,4,20,62,1465,1
48052,1,3,23,65,53426,3,9,27,69,1455,0
55993,2,9,27,68,41251,1,3,13,59,1450,1
72638,0,4,60,90,68311,0,0,52,89,1238,1
63679,1,8,31,77,55792,2,4,19,72,1827,1
45409,1,2,17,62,59758,2,9,38,72,1535,0
85304,2,7,39,87,80864,4,4,36,88,2645,1
32338,0,1,11,52,43608,2,6,24,59,1127,0
57872,2,10,32,74,45059,1,1,12,66,1561,1
36075,1,2,12,54,41511,2,3,16,59,1266,0
33877,1,3,22,51,27578,0,1,9,45,963,1
75225,3,4,27,85,85158,3,9,30,86,2588,0
70393,4,10,33,83,57411,0,4,30,74,1807,1
59284,2,6,35,77,48571,1,4,14,68,1651,1
39630,0,3,15,56,47568,2,4,26,64,1278,0
59264,0,5,19,75,69520,5,9,35,79,1931,0
57230,1,6,26,72,53802,3,3,26,71,1706,1
46761,1,8,35,58,33793,1,1,15,51,1199,1
55751,3,11,27,72,44033,0,4,11,65,1532,1
80513,2,10,43,84,75062,2,4,33,83,2316,1
55753,1,4,24,73,62400,3,8,32,77,1763,0
59137,0,1,48,82,66910,0,4,61,88,1048,0
37537,0,1,38,57,31855,0,0,23,52,538,1
69561,1,10,29,80,65555,3,6,23,76,1954,1
56481,1,1,23,71,67855,3,11,41,79,1841,0
38314,1,2,7,59,49210,2,6,25,64,1323,0
31645,0,3,15,48,23310,1,0,3,45,917,1
66209,2,11,22,79,58231,3,3,18,75,1995,1
34243,2,4,15,51,26905,0,0,9,47,951,1
57864,2,6,35,70,63103,1,10,35,75,1690,0
30698,1,2,14,49,23963,0,0,5,47,954,1
37397,0,6,26,50,22201,0,0,4,44,922,1
58382,1,4,33,72,67134,2,9,32,77,1742,0
47893,0,3,19,63,60494,3,10,33,74,1555,0
49740,3,3,22,68,53223,0,10,13,71,1601,0
24496,0,0,8,46,33481,1,4,19,50,911,0
47394,2,5,26,62,37340,0,0,12,57,1346,1
50337,0,2,35,68,61872,3,8,50,74,1550,0
26161,0,0,9,44,34498,2,2,27,52,935,0
36368,1,5,28,48,25703,0,1,8,44,915,1
55073,1,2,22,73,63283,3,8,33,78,1806,0
48903,1,3,19,65,63602,2,10,39,75,1620,0
55892,2,11,26,71,40978,1,1,10,62,1520,1
74668,3,11,30,85,63438,2,4,18,82,2179,1
56648,1,10,31,70,41443,3,1,14,64,1539,1
66780,1,10,28,79,61615,2,2,36,76,1859,1
49687,1,7,27,66,42164,1,3,17,60,1436,1
67711,4,6,39,82,59224,1,5,20,74,1853,1
42824,3,6,22,56,31535,0,0,10,51,1117,1
72106,3,5,30,84,75826,2,11,36,86,2204,0
31694,1,0,20,51,29435,0,2,11,47,953,1
31579,1,4,11,51,21821,0,0,1,43,918,1
49740,3,3,22,68,53223,0,10,13,71,1601,0
36607,2,1,18,54,45467,0,4,26,62,1283,0
23188,0,0,6,43,32716,1,2,24,49,910,0
31684,2,2,17,50,26131,0,0,8,47,915,1
65088,4,9,32,77,62172,0,3,38,78,1938,1
62911,2,7,30,77,61297,2,7,22,74,1804,1
37692,1,2,20,56,32387,1,1,8,52,1061,1
40466,1,3,23,57,35260,1,0,12,53,1203,1
60657,2,6,40,76,54620,1,4,17,70,1709,1
71910,3,11,32,83,59629,1,2,26,77,1930,1
27982,2,1,7,48,36407,0,3,17,54,996,0
33434,1,1,19,49,27267,0,0,12,45,939,1
34092,1,3,20,49,27292,0,0,11,45,927,1
68876,5,10,39,83,53659,0,2,17,71,1918,1
39590,1,1,15,59,51710,2,9,30,67,1358,0
30808,1,2,14,48,25218,0,0,7,44,914,1
62833,0,4,53,85,59335,0,1,46,84,1062,1
47052,1,10,22,61,31816,1,0,9,54,1218,1
53012,3,5,22,70,43430,1,2,8,63,1599,1
33562,1,4,15,50,25127,0,1,6,45,916,1
58339,1,5,28,71,65990,3,6,45,79,1746,0
23242,0,0,5,45,33117,2,3,19,51,932,0
33075,0,0,15,53,41898,2,4,26,59,1106,0
71692,3,6,26,83,79414,3,10,29,87,2287,0
62289,4,6,32,77,56911,0,6,20,71,1773,1
31931,0,1,9,52,42053,3,6,17,57,1162,0
33680,1,2,22,51,24558,0,0,7,43,928,1
39036,0,1,12,60,53029,2,8,31,69,1413,0
66204,3,11,35,80,51914,1,3,26,71,1679,1
71464,2,3,36,83,76635,2,8,46,87,2092,0
63840,2,7,19,76,66634,4,7,32,82,2105,0
31983,0,0,8,50,42356,1,5,22,59,1256,0
48899,0,3,12,68,55354,4,5,25,74,1631,0
64340,4,4,36,77,69470,0,10,31,78,2032,0
67664,3,5,33,80,57473,0,3,30,72,1817,1
55658,0,3,25,72,68028,4,9,43,82,1873,0
47564,3,11,26,62,33152,0,0,12,54,1242,1
46048,2,2,16,63,55893,1,7,24,71,1618,0
52997,0,3,20,69,59385,4,7,27,76,1798,0
52245,2,3,18,67,58606,2,9,26,76,1734,0
52383,0,3,23,71,61648,3,7,39,76,1709,0
75444,3,6,36,83,79945,2,9,40,85,2257,0
35592,0,2,19,54,29397,1,1,11,50,1034,1
27474,0,0,10,47,32805,2,2,15,50,963,0
53326,0,4,11,71,59356,3,8,33,75,1681,0
40337,1,5,22,56,35419,1,3,10,55,1240,1
43217,0,3,13,61,46651,4,3,24,66,1414,0
37003,1,4,13,57,30489,1,1,8,51,1106,1
64472,1,8,30,78,54872,2,4,26,68,1808,1
24107,0,0,7,44,32825,0,2,22,50,919,0
58264,1,1,26,78,74992,3,11,47,86,1945,0
54622,1,6,30,71,43626,2,2,16,63,1498,1
24959,2,0,6,44,30252,0,1,15,49,933,0
49885,0,1,35,70,57106,0,4,55,77,864,0
67781,3,3,25,82,71995,2,10,32,84,2209,0
33434,0,3,24,51,23976,1,0,8,45,933,1
63538,3,5,31,79,67915,1,8,27,81,1963,0
30012,0,0,8,50,39170,2,3,18,55,1112,0
40247,0,0,21,58,52852,2,10,30,65,1387,0
60374,0,1,48,81,64696,0,4,47,84,1052,0
79651,2,10,44,83,80811,3,4,41,87,2447,1
32822,1,3,20,49,24486,0,0,8,42,917,1
57387,0,5,41,72,49567,2,4,18,65,1659,1
65174,1,9,24,77,54535,2,3,16,72,1817,1
39745,0,2,9,57,52234,3,9,27,68,1414,0
55766,0,4,52,77,52680,0,1,43,75,896,1
30625,2,1,13,50,23375,0,0,1,47,958,1
57538,1,8,30,70,52811,2,3,35,67,1610,1
29938,1,1,13,49,25245,1,0,9,45,934,1
58911,1,9,37,71,43252,2,1,19,62,1463,1
31913,1,3,13,49,25811,0,0,8,46,953,1
56597,2,11,29,69,44875,2,1,16,62,1469,1
12078,0,0,6,25,10508,0,0,4,23,387,1
52118,0,4,20,67,56453,4,7,28,74,1663,0
51815,2,6,28,68,38146,1,1,11,58,1457,1
70717,1,5,30,85,76265,3,9,42,85,2129,0
42966,0,1,22,59,51471,3,5,37,66,1354,0
69575,3,5,26,81,73250,2,10,33,84,2236,0
45847,0,0,19,64,56060,3,7,33,71,1599,0
56648,1,10,31,70,41443,3,1,14,64,1539,1
36142,2,1,10,59,47242,0,10,25,62,1220,0
45924,1,3,10,64,57944,2,9,30,76,1577,0
49666,1,3,10,68,59959,3,10,29,75,1716,0
55841,0,6,29,70,60467,3,8,38,73,1666,1
34368,1,3,17,53,27516,1,0,9,48,970,1
44463,0,2,17,65,57548,4,11,36,70,1479,0
40193,1,2,11,58,52062,2,8,29,68,1438,0
30703,1,1,12,50,23936,1,0,7,47,920,1
52052,1,0,19,72,62385,2,7,29,79,1778,0
40466,1,3,23,57,35260,1,0,12,53,1203,1
79403,2,7,34,85,81473,3,8,44,88,2318,0
53549,2,10,30,71,39325,0,1,13,60,1440,1
32927,1,1,10,52,38943,2,4,17,56,1157,0
31307,0,2,16,51,23104,2,0,3,45,932,1
53849,4,2,36,68,49257,0,4,16,63,1635,1
56857,1,3,33,75,70920,3,8,41,83,1901,0
70717,1,5,30,85,76265,3,9,42,85,2129,0
51936,3,5,23,66,54128,0,4,27,71,1678,0
55575,2,9,30,71,45439,1,3,17,64,1541,1
31611,2,2,17,50,25653,0,1,6,47,962,1
60028,0,8,38,73,53454,3,3,40,67,1553,1
49829,1,2,28,67,46891,2,3,24,64,1539,1
61720,2,9,34,74,51337,2,2,25,69,1800,1
59615,4,9,42,71,47650,0,3,20,63,1524,1
36158,0,0,13,56,49502,2,4,30,63,1334,0
44457,2,5,19,62,38285,1,2,10,57,1267,1
55504,2,5,24,72,63695,2,9,30,77,1716,0
24848,0,0,7,48,33901,1,3,15,51,960,0
25135,0,0,7,45,36375,1,4,23,52,967,0
61110,3,8,35,73,53799,0,2,26,66,1655,1
59202,2,10,28,75,48692,2,2,18,66,1696,1
52032,3,4,18,70,61559,2,10,24,76,1874,0
43660,1,3,18,60,52787,2,4,34,67,1426,0
57049,1,8,23,72,47020,3,3,19,65,1648,1
42558,1,11,16,58,28250,1,0,6,49,1158,1
64150,3,7,21,80,63481,1,5,18,79,2149,1
55660,1,4,19,71,61940,3,8,30,78,1738,0
55575,2,9,30,71,45439,1,3,17,64,1541,1
66920,2,5,37,78,78623,3,9,46,85,2112,0
70297,2,6,34,82,73026,4,8,48,83,2184,0
44825,2,5,27,60,30638,0,0,10,52,1156,1
68665,3,7,41,79,69607,1,10,37,79,1983,0
55840,2,8,31,67,42572,1,2,18,58,1435,1
75520,3,9,38,84,70121,3,6,31,75,2103,1
34223,1,4,25,49,22541,0,0,4,44,911,1
44005,1,4,19,63,36515,2,1,6,58,1391,1
63466,3,11,34,75,48086,1,1,17,67,1728,1
46293,1,1,21,64,60093,2,9,36,72,1525,0
58767,3,7,29,73,48551,1,3,20,65,1613,1
36249,1,4,20,50,23671,1,0,8,42,973,1
32820,2,2,20,48,29042,0,0,15,47,967,1
40674,1,2,16,60,51523,1,9,25,67,1386,0
48968,2,5,20,67,56056,2,9,26,71,1569,0
62058,1,10,45,68,46300,2,3,26,59,1559,1
33178,1,3,19,47,24670,0,0,8,43,918,1
35528,1,3,23,48,25030,1,0,9,42,911,1
43892,2,3,22,63,37793,0,2,12,58,1278,1
47524,0,2,17,63,60062,4,9,40,71,1673,0
35157,0,4,23,51,24076,1,0,7,44,933,1
56245,2,3,31,68,65208,2,9,38,76,1795,0
54721,0,1,44,75,57361,0,2,49,80,949,0
47893,0,3,19,63,60494,3,10,33,74,1555,0
50704,2,11,24,68,38081,1,2,10,61,1401,1
42717,2,7,21,57,28663,0,0,6,50,1114,1
42621,1,6,28,58,32616,2,1,11,53,1107,1
39742,1,4,16,58,32246,1,1,8,52,1146,1
60982,1,7,34,72,53767,3,4,22,68,1758,1
50077,1,4,28,66,47456,1,1,21,63,1415,1
60106,3,8,32,76,49298,1,5,10,65,1722,1
58972,3,10,34,72,43379,0,3,12,63,1518,1
55634,0,1,48,79,57167,0,4,50,80,933,0
68309,2,6,30,79,78765,3,7,44,86,2103,0
8988,0,0,5,20,5817,0,0,0,14,286,1
52179,4,8,24,71,43903,0,2,8,67,1534,1
60421,0,4,61,83,55408,0,1,44,77,936,1
48736,0,2,10,70,57800,3,11,17,76,1707,0
22986,1,0,4,46,27799,1,1,6,49,915,0
61467,1,3,30,76,73971,3,7,40,86,1962,0
42643,1,4,25,59,30795,1,1,10,52,1157,1
63112,2,8,26,76,62578,2,7,36,78,1915,0
56576,2,2,30,71,64534,2,9,45,75,1647,0
44616,1,4,29,63,35591,2,1,13,55,1241,1
49976,2,7,30,66,41390,1,2,16,59,1408,1
65933,4,10,29,78,56646,1,1,22,75,1873,1
79167,4,10,44,88,74265,1,7,32,83,2260,1
40255,0,2,15,60,54268,2,11,33,71,1410,0
23892,1,0,7,44,33243,1,1,27,49,919,0
53524,3,11,35,66,46779,0,2,16,66,1444,1
43092,2,1,24,60,52991,1,8,32,66,1448,0
